Pharmacy,Populations,Disability,Insurance,Poverty,Work
WAL-MART SUPERCENTER - 3701,"[['37191000800', '37191000902', '37191001000', '37191000700']]",[0.14676258992805755],[0.8376978417266187],[0.24469265478215843],[0.754863813229572]
WAL-MART SUPERCENTER - 3612,[['37001020302']],[0.07758381823219729],[0.7262399556663895],[0.17927403712939874],[0.70772238514174]
CVS - 5586,"[['37021001300', '37021001300']]",[0.0901673640167364],[0.8924686192468619],[0.22531380753138075],[0.7552742616033755]
SAM'S CLUB - 6355,[['37035011000']],[0.17078189300411523],[0.828395061728395],[0.33442892358258014],[0.7416331994645248]
WAL-MART SUPERCENTER - 3289,[['37009970501']],[0.15103578154425612],[0.831638418079096],[0.1820250284414107],[0.7170361726954493]
WALGREENS - 7475,"[['37083930504', '37083930600', '37083930400']]",[0.17108858527985896],[0.8855002203613926],[0.2645218157778757],[0.656014748809341]
KING'S PHARMACY,"[['37039930502', '37039930603', '37039930604', '37039930605', '37039930606', '37039930502']]",[0.1787318002449313],[0.8023540617771125],[0.14611716621253407],[0.7061569518041887]
BI-LO - 288,[['37175960301']],[0.1408955223880597],[0.8907462686567165],[0.05894736842105263],[0.8422756706753006]
B AND B PHARMACY,"[['37021001100', '37021001000']]",[0.1375984251968504],[0.8896653543307087],[0.12169987241142409],[0.83151305274374]
HARRIS TEETER - 191,[['37129011612']],[0.05668430937339935],[0.9079733652040294],[0.06966023561550282],[0.7980747705395119]
CVS - 7163,"[['37051001606', '37051003003', '37051003004', '37051003105', '37051003106', '37051001606']]",[0.1638970691347637],[0.9010307109802271],[0.13308131191151248],[0.711258697027198]
RX CLINIC PHARMACY,"[['37119001927', '37119001927']]",[0.04811982154238369],[0.7868068833652008],[0.09878903760356915],[0.847684809098294]
CLINTON DRUG COMPANY,[['37163970701']],[0.06757464641173389],[0.8255631220534311],[0.16308337703198741],[0.7936371453138436]
FAIRBROOK MEDICAL CLINIC AND PHARMACY,[['37035011000']],[0.17078189300411523],[0.828395061728395],[0.33442892358258014],[0.7416331994645248]
CVS - 3806,"[['37109070100', '37109070100']]",[0.15242848915338836],[0.8504511422537915],[0.22691495488577462],[0.7713405238828968]
CVS - 7407,[['37119001504']],[0.0739235170129479],[0.8163203854260764],[0.17361533779671334],[0.8474120546717454]
CAJAHS MOUNTAIN DISCOUNT DRUG,[['37027030801']],[0.19732676749912065],[0.9511079845233907],[0.20677487649964715],[0.7469725940089229]
WARD DRUG COMPANY,"[['37127011103', '37127011104', '37127011103']]",[0.16249033255993814],[0.948414539829853],[0.17147063381373004],[0.7640910787607316]
CLARKS PHARMACY,[['37117970300']],[0.1637351267459907],[0.9407656492498707],[0.30289705121572685],[0.7839276210750399]
MEDCARE CLINIC AND PHARMACY,"[['37179020305', '37179020310', '37179020310']]",[0.06948566979709017],[0.9370346941754659],[0.037876175934590944],[0.8452187379016647]
CVS - 4293,"[['37051001902', '37051001903', '37051002002', '37051002002']]",[0.2014852340107075],[0.8253410857175753],[0.2140701311529386],[0.7873482533652655]
LIBERTY MEDICAL SPECIALTIES,"[['37129010400', '37129010504', '37129010504']]",[0.07078986587183309],[0.8786015896671634],[0.3494923229321446],[0.7754323293009662]
CVS - 7941,"[['37071032406', '37119005920', '37119005921', '37119005922', '37119005923', '37119005928', '37119005928']]",[0.06669297553275454],[0.8625690607734806],[0.06452569169960475],[0.8695900994348665]
RITE AID - 11362,"[['37183053524', '37183053525', '37183053524']]",[0.09434320425208807],[0.9272968868640851],[0.06330798479087453],[0.8379290939786156]
MOORESVILLE PHARMACY,"[['37097061404', '37097061407', '37097061605', '37097061404']]",[0.10603690960275258],[0.9541757898029403],[0.056587370584051215],[0.8088679473239097]
ELM CITY PHARMACY INCORPORATED,"[['37127011201', '37195001301', '37195001302', '37195001301']]",[0.14873445246586067],[0.930068713577455],[0.2013568757067061],[0.7389794685990339]
WINTERPARK DISCOUNT DRUG,"[['37129011502', '37129011905', '37129012011', '37129012011']]",[0.08800046622763565],[0.9237135031178973],[0.15223399355135883],[0.8142845843549791]
EASTER AREA HEALTH EDUCATION CENTER,[['37147000701']],[0.15867158671586715],[0.9166666666666666],[0.43067937288656627],[0.7310282891782667]
FAISON PHARMACY,"[['37061090201', '37061090202', '37163970102', '37061090202']]",[0.17714178825289936],[0.8244481855592967],[0.20364114114114115],[0.7390438247011952]
BI-LO - 640,"[['37119005829', '37119005829']]",[0.09301130524152107],[0.9100719424460432],[0.08838643371017471],[0.8401142041399001]
WALGREENS - 9236,"[['37081015707', '37081012508']]",[0.11077987121392797],[0.9531361793465299],[0.08299546863820653],[0.8769673704414588]
RITE AID - 11387,"[['37183052705', '37183052706', '37183052705']]",[0.10199789695057834],[0.8322467577988083],[0.1871713985278654],[0.8034129019530479]
SAM'S CLUB - 8228,[['37067003805']],[0.13403012603750383],[0.8837995696280356],[0.1675840978593272],[0.7730853391684902]
WALGREENS - 12349,[['37157041200']],[0.28463587921847244],[0.9249555950266429],[0.37246309963099633],[0.6387004641199572]
CVS - 3529,"[['37025040701', '37025040705', '37025040800', '37159051400', '37025040800']]",[0.14239823780459823],[0.8918360791152311],[0.15987258205992336],[0.7706950623586901]
RITE AID - 11537,[['37031970503']],[0.198427382053654],[0.9167437557816837],[0.14338575393154487],[0.8451151707704527]
BI-LO - 99,"[['37119006212', '37119006214', '37119006212']]",[0.06910569105691057],[0.941869918699187],[0.050679248352721064],[0.8801212121212121]
WALGREENS - 10253,"[['37025042602', '37025042603', '37025042603']]",[0.10517278385919725],[0.9175359519210131],[0.03537239751019532],[0.8567158716603636]
CVS - 3711,"[['37081016408', '37081016405']]",[0.1305780173704702],[0.9320155735250075],[0.055106319257262656],[0.8051884483602545]
WAL-MART - 1751,"[['37183052507', '37183053726']]",[0.13908758543951677],[0.8987442378000318],[0.11508504212366873],[0.7976056019878022]
WALGREENS - 2540,"[['37189920702', '37189920601']]",[0.11475759190197123],[0.9062333510921684],[0.4009257218426273],[0.7888845503058701]
CVS - 4176,"[['37021001900', '37021001900']]",[0.13318112633181126],[0.9327752409944191],[0.12997416020671834],[0.8634192932187201]
RITE AID - 11319,"[['37067002501', '37067002200']]",[0.0763911225474429],[0.9470890961724027],[0.0618721097113698],[0.8291004035129361]
WAL-MART SUPERCENTER - 1036,[['37161960800']],[0.2551557700745941],[0.8211935059236507],[0.43387061161404283],[0.6438026474127557]
STEWART COMPOUNDING PHARMACY,"[['37051000800', '37051000800']]",[0.18165938864628822],[0.9],[0.14334470989761092],[0.7571428571428571]
INGLES MARKETS - 62,"[['37021002607', '37021002607']]",[0.12200956937799043],[0.8423710792131844],[0.05954279638490165],[0.7096522078937085]
CVS - 3836,[['37129010700']],[0.24070125562662875],[0.8858090499881545],[0.34579219558063],[0.6924322136786726]
WAL-MART SUPERCENTER - 1322,"[['37057061501', '37057061502', '37057061501']]",[0.17986968449931412],[0.8737997256515775],[0.18686354378818737],[0.6799467021985343]
BEST VALUE DRUG AND COMPOUNDING CENTER,"[['37147001602', '37147001800', '37147001900', '37147001800']]",[0.2102713683004323],[0.9201520912547528],[0.24225220063544975],[0.7513616557734205]
WAL-MART SUPERCENTER - 1849,[['37067002806']],[0.20202778820878708],[0.8854675178370259],[0.21066466391288022],[0.7244224422442245]
RITE AID - 11467,"[['37119000101', '37119000102', '37119000102']]",[0.008700016730801405],[0.9641960849924711],[0.07177513802911159],[0.9340518816222141]
HAZELWOOD PHARMACY INCORPORATED,[['37087921201']],[0.2423417290673928],[0.7937372362151123],[0.041524846834581346],[0.761849710982659]
MARSHALL FAMILY PHARMACY,"[['37115010500', '37115010500']]",[0.17075185899201323],[0.911594602038006],[0.10757080610021787],[0.7592421441774492]
RITE AID - 11418,"[['37147000102', '37147000400', '37147000102']]",[0.0848916801919413],[0.9345847152635665],[0.40528319847691574],[0.4584964761158966]
RITE AID - 11410,"[['37065020400', '37065020300']]",[0.15732036736898974],[0.9088060507833603],[0.2796582675462312],[0.6508188061278394]
CVS - 4169,[['37051001800']],[0.22333044232437121],[0.8018213356461406],[0.24131944444444445],[0.6963613550815558]
LUMBERTON DRUG COMPANY,[['37155960900']],[0.1818637274549098],[0.8962925851703407],[0.2029058116232465],[0.7520215633423181]
MEDICAL VILLAGE APOTHECARY,"[['37001020200', '37001020301', '37001020400', '37001020301']]",[0.1588431339321019],[0.8312715358978704],[0.27938931297709924],[0.6632830361225422]
HARRIS TEETER - 257,[['37183053004']],[0.09203606311044328],[0.9752066115702479],[0.06574004507888806],[0.7782925215089345]
CVS - 5534,"[['37097061002', '37097061102', '37097061103', '37097061104', '37097060400']]",[0.17221322779876477],[0.8671223841218445],[0.12889963724304715],[0.7500927643784787]
RITE AID - 11323,"[['37067003906', '37067002605']]",[0.09789715497437709],[0.9568828414914295],[0.0412974122651542],[0.8342738342738343]
WAL-MART SUPERCENTER - 1242,[['37089931000']],[0.21481028151774786],[0.8888208894328845],[0.2248062015503876],[0.7731755424063116]
BELLS DRUG STORE,"[['37031970305', '37031970305']]",[0.1270358306188925],[0.9060803474484256],[0.09270334928229665],[0.6581265012009607]
MOOSE SALISBURY PHARMACY,"[['37159050500', '37159050500']]",[0.0920708684286959],[0.9483009003775777],[0.0326530612244898],[0.7659494148735372]
MADISON PHARMACY AND GIFTS,[['37115010500']],[0.17075185899201323],[0.911594602038006],[0.10757080610021787],[0.7592421441774492]
WALGREENS - 11667,"[['37127010604', '37127010604']]",[0.17611640742599097],[0.8943803311590567],[0.08081060795596698],[0.7399170750094233]
CVS - 7051,"[['37183054204', '37183054223', '37183054224', '37183054224']]",[0.1066571224051539],[0.9469192225097737],[0.07540820829655781],[0.8116100766703176]
RITE AID - 11558,"[['37111970903', '37111970400']]",[0.2209635594376962],[0.8571038624266412],[0.14530971020464223],[0.599815668202765]
MINTZ COASTAL DRUG,"[['37019020511', '37019020513', '37019020514', '37019990100', '37019020514']]",[0.16848776223776224],[0.9145541958041958],[0.09283761618370695],[0.7152777777777778]
WAL-MART SUPERCENTER - 1527,"[['37139960502', '37139960503', '37139960600', '37139960600']]",[0.12015410546592825],[0.8979051288225379],[0.06977076681122814],[0.8328276056735586]
THE MEDICAP PHARMACY,"[['37183054006', '37183054012', '37183054006']]",[0.07499516160247725],[0.9265531256047997],[0.13595897038900717],[0.8330105764933711]
WAKE FOREST DRUG,[['37183054219']],[0.048532470533857175],[0.9382944303212387],[0.0032649253731343282],[0.8492688413948256]
HARRIS TEETER - 4,"[['37119003013', '37119003017', '37119003013']]",[0.0832599765258216],[0.9647153755868545],[0.01335093896713615],[0.8299516908212561]
CARRBORO FAMILY PHARMACY,"[['37135010701', '37135010706', '37135011209', '37135011210', '37135010707']]",[0.0751011353255905],[0.9412110139631998],[0.06361738222628213],[0.792719614921781]
WALGREENS - 12078,"[['37105030502', '37105030504', '37105030505', '37105030602', '37105030502']]",[0.1774913514116728],[0.873619015734851],[0.12593467138921685],[0.7439331223115007]
CVS - 162,"[['37119005864', '37179021006', '37179021007', '37119005864']]",[0.037015142558319315],[0.9577099722613797],[0.021872584239006867],[0.7970256127788488]
OLD MAIN PHARMACY,"[['37155960404', '37155960501', '37155960502', '37155961801', '37155960502']]",[0.15475837533353098],[0.8769641268900089],[0.2967285481042511],[0.4888732394366197]
WALGREENS - 4547,[['37119005604']],[0.048767605633802814],[0.967605633802817],[0.4440697020798201],[0.794606179674942]
RITE AID - 11361,"[['37183053004', '37183053004']]",[0.09203606311044328],[0.9752066115702479],[0.06574004507888806],[0.7782925215089345]
CVS - 8959,"[['37069060401', '37069060501', '37069060502', '37077970605', '37069060501']]",[0.12864498796664242],[0.9093860189175575],[0.06735809390329363],[0.8054762099077777]
TAYLOE'S HOSPITAL PHARMACY,[['37013930400']],[0.26706349206349206],[0.9486111111111111],[0.33652121936640766],[0.633311170212766]
ELVINGTON PHARMACY,[['37047930600']],[0.10109819121447028],[0.7968346253229974],[0.08107235142118863],[0.7126203750633553]
WALGREENS - 5877,[['37071031800']],[0.12279151943462897],[0.8713191990577149],[0.24744130042143286],[0.6372695565520677]
WALGREENS - 7397,[['37067001100']],[0.09146341463414634],[0.9065040650406504],[0.24227642276422764],[0.7904946653734238]
OMNICARE OF SOUTHERN PINES,[['37125951102']],[0.11048265460030166],[0.8946078431372549],[0.08844896476571014],[0.8419333768778576]
CVS - 2749,"[['37025042601', '37025042503']]",[0.07646760277448825],[0.9319912028421586],[0.06108616453444039],[0.8539765319426337]
INNES STREET DRUG COMPANY 3,[['37159050500']],[0.0920708684286959],[0.9483009003775777],[0.0326530612244898],[0.7659494148735372]
FAMILY CARE PHARMACY OF SWANSBORO,"[['37031970801', '37133000104', '37133000105', '37133002801', '37133002802', '37133002803', '37133000105']]",[0.1998210771157631],[0.9163356593308284],[0.12629276054097058],[0.7131722525331254]
CVS - 7311,[['37183053519']],[0.12399667866039303],[0.8386382507611403],[0.10102407971215056],[0.9046444718454583]
EAST CAROLINA UNIVERSITY BRODY SCHOOL OF MEDICINE - FAMILY PRACTICE CENTER PHARMACY,[['37147000701']],[0.15867158671586715],[0.9166666666666666],[0.43067937288656627],[0.7310282891782667]
HARRIS TEETER - 354,[['37195000502']],[0.12048192771084337],[0.9700738437621453],[0.03070345899727944],[0.849]
RITE AID - 11531,[['37107010400']],[0.4157782515991471],[0.8486140724946695],[0.31343283582089554],[0.4082687338501292]
MAST DRUG,"[['37181960500', '37181960600', '37181960500']]",[0.22026481149012567],[0.8829667863554758],[0.18224666142969365],[0.740862693447481]
CVS - 7566,"[['37025041702', '37159050903', '37159051001', '37159051002', '37159051101', '37159051001']]",[0.16101273768733818],[0.8970784400910209],[0.15064969156057226],[0.7459235338675597]
BRISSON DRUGS,"[['37155960102', '37155960102']]",[0.18822459649920437],[0.8026824278245056],[0.24087591240875914],[0.7204563977180114]
ROWLAND FAMILY PHARMACY,"[['37155961900', '37155961900']]",[0.2751334519572954],[0.8754448398576512],[0.27098214285714284],[0.5207631874298541]
HAYWOOD REGIONAL MEDICAL CENTER PHARMACY,"[['37087920501', '37087920502', '37087921000']]",[0.170313986679353],[0.8778940691405012],[0.06939728353140917],[0.8144524545142465]
JONESTOWN PHARMACY,[['37067003805']],[0.13403012603750383],[0.8837995696280356],[0.1675840978593272],[0.7730853391684902]
OMNICARE OF CAROLINA,"[['37195001402', '37195001502', '37195001402']]",[0.09655906349769422],[0.8855622561191911],[0.128243195475433],[0.7858767341369115]
CVS - 3867,"[['37195001401', '37195000502']]",[0.12403100775193798],[0.9343507751937985],[0.0279796511627907],[0.856508875739645]
PRESCRIPTIONS PLUS,"[['37071031706', '37045950500']]",[0.19905315257155154],[0.8816440714439423],[0.2573036139363774],[0.6722386102917076]
HARRIS TEETER - 122,"[['37119005515', '37119005516', '37119005517', '37119005529', '37119005525']]",[0.06625125340209138],[0.9322446640882395],[0.04978215841725591],[0.7964546402502607]
WAL-MART SUPERCENTER - 5747,"[['37025041602', '37025041603', '37025041604', '37179020204', '37167930801']]",[0.10893842220926582],[0.9119164013095932],[0.10402910658940843],[0.765715069997255]
H AND W DRUG COMPANY,[['37035011200']],[0.10818517276081852],[0.8795706138879571],[0.05920831935592083],[0.745605700712589]
CVS - 6408,"[['37035011401', '37035010204']]",[0.13237603769351583],[0.8470944581557102],[0.16861773975686628],[0.7974324774924975]
RITE AID - 11440,"[['37071030104', '37109071102', '37109071102']]",[0.10237425039774814],[0.9448659894749725],[0.034241486068111456],[0.8854670923885055]
NORTH IREDELL PHARMACY INCORPORATED,"[['37097060901', '37197050401', '37097060801']]",[0.1680157946692991],[0.8106614017769003],[0.1747820123444695],[0.7456246228123115]
MCLARTY DRUG AND SURGICAL SUPPLY,"[['37081013800', '37081013900', '37081014300', '37081013602']]",[0.1773545113029724],[0.8082778619916958],[0.3265953230281411],[0.6530673616680032]
WAL-MART SUPERCENTER - 3371,"[['37119004101', '37119003902']]",[0.12411507757192349],[0.8406386503991565],[0.2547579799190769],[0.8061684460260973]
THOMAS AND OAKLEY DRUG STORE,"[['37145920400', '37145920400']]",[0.24196221411998675],[0.8578057673185283],[0.25867195242814667],[0.7656599552572707]
COATS PHARMACY INCORPORATED,"[['37085070401', '37085070402', '37085070401']]",[0.15569801541294415],[0.8552138034508627],[0.1589277166108186],[0.7582640221795692]
CHOCOWINITY PHARMACY,"[['37013930900', '37013931001', '37013931002', '37147001100', '37013931002']]",[0.173859294223421],[0.8663182737693864],[0.14296954029448128],[0.6800572519083969]
CVS - 4398,[['37197050503']],[0.14920237722865187],[0.8432905849233656],[0.0756959649671567],[0.8318756073858115]
RITE AID - 11404,"[['37063001504', '37063001505']]",[0.08168442415017757],[0.8143074581430746],[0.35676685345559517],[0.7648233180275504]
WALGREENS - 9348,[['37133001301']],[0.22131147540983606],[0.9079851930195664],[0.13242518981688253],[0.8532391771568928]
J IVERSON RIDDLE DEVELOPMENTAL CENTER PHARMACY,"[['37023021301', '37023021302', '37023021301']]",[0.24180534543620777],[0.8651874264582283],[0.29233333333333333],[0.5607333842627961]
CVS - 7057,"[['37045951400', '37045951503', '37045951501']]",[0.12284681363861913],[0.8704189409513008],[0.14330462020360218],[0.6699335361045399]
WAL-MART SUPERCENTER - 1774,"[['37085071301', '37085071401', '37105030506', '37105030507', '37105030702', '37105030506']]",[0.1669313931444382],[0.8678075523902239],[0.11931156669197672],[0.774970297029703]
PITTMAN'S PHARMACY INCORPORATED,"[['37015960100', '37015960401', '37015960401']]",[0.28729703915950333],[0.8863419293218721],[0.1842885848244187],[0.6911435941530525]
EXTENSIVE PHARMACEUTICAL SERVICES,"[['37103920300', '37107010200', '37107010300', '37107010400', '37107011301', '37107011400', '37107010400']]",[0.24053387494559697],[0.8946757580153779],[0.30128437704085337],[0.6686916413544831]
WALGREENS - 10274,"[['37175960301', '37175960301']]",[0.1408955223880597],[0.8907462686567165],[0.05894736842105263],[0.8422756706753006]
BROUGHTON HOSPITAL,[['37023020600']],[0.1459993072393488],[0.857637686179425],[0.35902320748181504],[0.7811280595956013]
WALGREENS - 10707,[['37081010602']],[0.04452054794520548],[0.9315068493150684],[0.31398416886543534],[0.805286129970902]
CAROLINAS MEDICAL CENTER - HOME INFUSION AND EQUIPTMENT,"[['37119003111', '37119003111']]",[0.04412209126624358],[0.8933212450891508],[0.2707766696887277],[0.9354571783202317]
GRANITE DRUG CENTER,[['37027031403']],[0.17273576097105509],[0.8646125116713352],[0.30746847720659554],[0.7365591397849462]
BLUE RIDGE HEALTH MART PHARMACY MIDTOWN,"[['37193960600', '37193961100', '37193961201', '37193960600']]",[0.1861910994764398],[0.8950425392670157],[0.17818271767810026],[0.7537791093558491]
WAL-MART SUPERCENTER - 3700,"[['37179020318', '37179020320', '37179020312']]",[0.10414006930512493],[0.8900237096480029],[0.07099780701754387],[0.8038252091911277]
RITE AID - 11427,[['37091950401']],[0.17070835992342054],[0.8915124441608169],[0.24469453376205788],[0.7182806835836354]
RITE AID - 11446,"[['37025041504', '37025041507', '37025042604']]",[0.10035647861128333],[0.9426534407935524],[0.03791358505254963],[0.7968428277282087]
WALGREENS - 6579,"[['37147000702', '37147000701']]",[0.21478453415091125],[0.9064895247828308],[0.4752761257434155],[0.6717432689692684]
WALGREENS - 7400,"[['37119006209', '37119006209']]",[0.06613267611419182],[0.8864243171082358],[0.06798110494968165],[0.8676514032496307]
CVS - 7539,"[['37159051202', '37159051301', '37159051303', '37159051303']]",[0.09649327878433664],[0.8897136177673874],[0.22390414962010521],[0.8107324872589188]
HARRIS TEETER - 179,"[['37119006217', '37119006218', '37119006219', '37119006208']]",[0.052346570397111915],[0.9401192905352378],[0.04983519070789515],[0.7738008278548819]
GUITONS DRUG STORE,[['37047930900']],[0.16059225512528474],[0.8724373576309795],[0.25028519279032624],[0.599778679454076]
WALGREENS - 11202,[['37067003903']],[0.14647683397683398],[0.8856177606177607],[0.16722972972972974],[0.6893835616438356]
WALGREENS - 10089,"[['37067004010', '37067004102', '37067004103', '37067004104', '37067004103']]",[0.09440377804014168],[0.947012987012987],[0.07005153655277725],[0.7877482651351998]
SERVICE DRUG STORE,"[['37065021300', '37065021500', '37065021600', '37065021500']]",[0.1840235792019347],[0.9082527206771464],[0.13240761818043859],[0.7142514107335814]
CVS - 5595,"[['37067000700', '37067000801', '37067000700']]",[0.11669908307863296],[0.8895526535148652],[0.4345598509548207],[0.5022321428571429]
SAM'S CLUB - 6540,"[['37119005534', '37119005534']]",[0.06296758104738155],[0.936616791354946],[0.17955112219451372],[0.8194444444444444]
CVS - 1674,"[['37119006308', '37119006311', '37119006308']]",[0.0793965859468043],[0.9668122270742358],[0.02072250893211592],[0.7893954410307235]
KEL-SAVE DISCOUNT DRUGS,[['37099950400']],[0.1702127659574468],[0.8290780141843972],[0.13552507095553454],[0.8405572755417957]
PITTSBORO DISCOUNT DRUGS,"[['37037020202', '37037020801', '37037020802', '37037020803', '37037020802']]",[0.13937216338880484],[0.9481845688350984],[0.06952849218356026],[0.7718196306365426]
RITE AID - 11509,[['37163970701']],[0.06757464641173389],[0.8255631220534311],[0.16308337703198741],[0.7936371453138436]
CAROLINAS MEDICAL CENTER - UNION,"[['37179020602', '37179020602']]",[0.11983181499649614],[0.7783228217706143],[0.23067943030586038],[0.7621681415929203]
DENVER PHARMACY,"[['37109071201', '37109071102']]",[0.09440951953300404],[0.9717108217332735],[0.03449841125737631],[0.8819958262189338]
AKERS PHARMACY INCORPORATED,"[['37071032703', '37071032704', '37071032704']]",[0.16427783902976847],[0.8947579432695199],[0.11092817452150648],[0.7589703588143526]
RITE AID - 11423,"[['37117970100', '37117970200']]",[0.21430419037765133],[0.9304190377651319],[0.1947983014861996],[0.672975352112676]
FOOD LION - 1685,"[['37101040207', '37101040208', '37101040209', '37101040210', '37101040903', '37101041001', '37101040207']]",[0.0991796300595929],[0.9150994505069268],[0.07869597297192342],[0.8222421137107229]
RITE AID - 11441,"[['37071033100', '37071031800']]",[0.13012086014754357],[0.8989169675090253],[0.19420478593521082],[0.6807135470527405]
STANLY REGIONAL MEDICAL CENTER,"[['37167930102', '37167930300', '37167931204']]",[0.18028471138845553],[0.8872854914196567],[0.11953978159126365],[0.7706465313827277]
BI-LO - 206,"[['37071032802', '37071032702']]",[0.21794030829780256],[0.8755329616267629],[0.1718596261069203],[0.7216148023549201]
THE PRESCRIPTION CENTER OF LUMBERTON,"[['37155961000', '37155961000']]",[0.16857440166493237],[0.8694068678459937],[0.28303850156087407],[0.6155129274395329]
FREMONT PHARMACY,"[['37191000103', '37191000200', '37191000103']]",[0.17145977429923553],[0.8787768474699672],[0.16628371024307656],[0.7170825335892514]
HARRIS TEETER - 200,"[['37183053409', '37183053426', '37183053408']]",[0.06357493857493858],[0.9551597051597052],[0.05343980343980344],[0.7914710110206037]
CVS - 4198,"[['37183052707', '37183054117', '37183052704']]",[0.08635683819863735],[0.809671522738603],[0.16107717934480845],[0.7955893409071924]
PREVO DRUG INCORPORATED,"[['37151030502', '37151030600', '37151030201']]",[0.16078557630392787],[0.8653573728267868],[0.09913793103448276],[0.7870379956517238]
ABERDEEN PRESCRIPTION SHOPPE,"[['37125951101', '37125951102']]",[0.11093579317878384],[0.9184367034834324],[0.07740152038700761],[0.8688771665410701]
ANDREWS PHARMACY,"[['37067002100', '37067002200', '37067002100']]",[0.08221993833504625],[0.91379753340185],[0.10641827229807324],[0.8124156545209177]
FAYETTEVILLE FAMILY MEDICAL CARE,"[['37051001800', '37051001800']]",[0.22333044232437121],[0.8018213356461406],[0.24131944444444445],[0.6963613550815558]
INDIAN TRAIL PHARMACY,"[['37179020313', '37179020313']]",[0.1382667964946446],[0.8442064264849075],[0.09339853300733496],[0.8459821428571429]
CVS - 1643,"[['37025041301', '37119006310', '37025041304']]",[0.08142612486377082],[0.9430691784731953],[0.03949348694794748],[0.7982737361282367]
BELMONT PHARMACY,"[['37157041501', '37157041602', '37157041502']]",[0.15544912192252752],[0.9115200403327451],[0.1915072171869755],[0.6724446278717843]
HARRIS TEETER - 33,"[['37081016101', '37081016102', '37081016102']]",[0.14151390644753475],[0.8755530973451328],[0.21368475274725274],[0.7666353162473548]
CAROLINAS MEDICAL CENTER PHARMACY,[['37025042402']],[0.10657306955966815],[0.8578493937460114],[0.13002552648372687],[0.7831984769157544]
CVS - 7574,"[['37121950400', '37121950400']]",[0.17935457178320233],[0.904013239553165],[0.1119155978485726],[0.7319218241042346]
RITE AID - 11369,[['37101041004']],[0.14623338257016247],[0.7656326932545544],[0.09748892171344166],[0.8308943089430895]
WALGREENS - 9555,"[['37183054113', '37183054115']]",[0.08650883126644118],[0.8809470124013529],[0.08613127646702964],[0.8752191060473269]
AMERICARE PHARMACY CONSULTANTS,"[['37021003203', '37021003204', '37021003203']]",[0.074226345908106],[0.9118839935551976],[0.08776833631484794],[0.7658260422027792]
CVS - 1737,"[['37179021005', '37179021020']]",[0.0730050933786078],[0.8718732314657611],[0.053836563527144964],[0.8095238095238095]
INGLES - 80,"[['37115010700', '37115010602']]",[0.16723424957431282],[0.904889321333009],[0.11930363543266768],[0.7493448146761512]
COMPREHENSIVE CANCER CENTER PHARMACY,[['37067001100']],[0.09146341463414634],[0.9065040650406504],[0.24227642276422764],[0.7904946653734238]
STEDMAN DRUG CENTER,"[['37051002801', '37051002802', '37051002900', '37051002802']]",[0.16132160421140126],[0.8697097734986493],[0.1360279031596225],[0.6845892875501183]
RED SPRINGS DRUG COMPANY,"[['37155960301', '37155960301']]",[0.24099028517706048],[0.8332811031024757],[0.41146975869633345],[0.5272919978802332]
WAL-MART SUPERCENTER - 1237,"[['37085070500', '37085070500']]",[0.1646897025958398],[0.8672855423757951],[0.14095928226363008],[0.7212925562608193]
TURNER'S FAMILY PHARMACY,"[['37039930101', '37039930102', '37039930200', '37075920100', '37075920200', '37075920300', '37039930101']]",[0.17459749552772807],[0.8494335122242099],[0.16079203196755532],[0.7217594473791141]
CENTRAL PHARMACY,[['37063000102']],[0.12148028962188254],[0.7951193349423438],[0.1995172968624296],[0.8069724770642202]
HARRIS TEETER - 268,"[['37119006216', '37119006408', '37119006408']]",[0.11976431407711029],[0.9262200589214807],[0.06391699756628666],[0.8756432246998285]
BENNETTS PHARMACY,[['37081010900']],[0.11958310477235326],[0.9857377948436643],[0.27134502923976606],[0.7143835616438357]
RITE AID - 11316,"[['37067002807', '37067002808', '37067002809', '37067002804']]",[0.1228493812254754],[0.9223060670087534],[0.09647371922821024],[0.78723604826546]
WILKES FAMILY PHARMACY,"[['37193961002', '37193960700']]",[0.1899696048632219],[0.8937255753365175],[0.18107131120604666],[0.7182803215658861]
RXCARE INCORPORATED,"[['37157041200', '37157041200']]",[0.28463587921847244],[0.9249555950266429],[0.37246309963099633],[0.6387004641199572]
WALKER'S PHARMACY,"[['37035011300', '37035011402', '37035011200']]",[0.14149569017846303],[0.8662134272186476],[0.13035551504102097],[0.7270620050222136]
RITE AID - 11468,"[['37119003600', '37119003701', '37119003702', '37119000401']]",[0.0982753010087862],[0.9247206855407311],[0.1828212894850714],[0.8940928825154585]
RITE AID - 11432,[['37071032302']],[0.2255278310940499],[0.9049904030710173],[0.299744081893794],[0.7162322274881516]
WALGREENS - 9135,[['37081012703']],[0.154380461572933],[0.847860183732915],[0.17745910822316827],[0.7091948966124065]
GURLEY'S HEALTH MART PHARMACY,"[['37063000200', '37063000900', '37063001002', '37063001100', '37063002200']]",[0.1301195860957928],[0.7698742177334408],[0.30718670552489613],[0.7445399212316506]
EVERGREEN PACKAGING FAMILY PHARMACY,"[['37087921302', '37087920400']]",[0.19445255474452555],[0.8874452554744525],[0.1604829210836278],[0.6642944785276074]
COLONIAL PHARMACY,"[['37091950101', '37091950102', '37091950101']]",[0.19642154935116005],[0.9193865513173417],[0.1954529222711582],[0.6445202432151861]
